Date,Cash,Shares,Price,Portfolio_Value,Daily_Return,Peak,Drawdown,Buy_Hold_Value
2022-01-03 00:00:00-05:00,10000.0,0,178.6456298828125,10000.0,,10000.0,0.0,10000.0
2022-01-04 00:00:00-05:00,10000.0,0,176.3783721923828,10000.0,0.0,10000.0,0.0,9873.08630544632
2022-01-05 00:00:00-05:00,10000.0,0,171.6866912841797,10000.0,0.0,10000.0,0.0,9610.46130245684
2022-01-06 00:00:00-05:00,10000.0,0,168.82069396972656,10000.0,0.0,10000.0,0.0,9450.032115561356
2022-01-07 00:00:00-05:00,10000.0,0,168.987548828125,10000.0,0.0,10000.0,0.0,9459.372106609999
2022-01-10 00:00:00-05:00,10000.0,0,169.00717163085938,10000.0,0.0,10000.0,0.0,9460.470527139358
2022-01-11 00:00:00-05:00,10000.0,0,171.84373474121094,10000.0,0.0,10000.0,0.0,9619.252083240803
2022-01-12 00:00:00-05:00,10000.0,0,172.2854461669922,10000.0,0.0,10000.0,0.0,9643.977648935916
2022-01-13 00:00:00-05:00,10000.0,0,169.00717163085938,10000.0,0.0,10000.0,0.0,9460.470527139358
2022-01-14 00:00:00-05:00,10000.0,0,169.87091064453125,10000.0,0.0,10000.0,0.0,9508.819821451145
2022-01-18 00:00:00-05:00,10000.0,0,166.6613311767578,10000.0,0.0,10000.0,0.0,9329.158025644618
2022-01-19 00:00:00-05:00,10000.0,0,163.15733337402344,10000.0,0.0,10000.0,0.0,9133.015651211337
2022-01-20 00:00:00-05:00,10000.0,0,161.46910095214844,10000.0,0.0,10000.0,0.0,9038.513903646483
2022-01-21 00:00:00-05:00,10000.0,0,159.407958984375,10000.0,0.0,10000.0,0.0,8923.137895337435
2022-01-24 00:00:00-05:00,10000.0,0,158.63253784179688,10000.0,0.0,10000.0,0.0,8879.73234754504
2022-01-25 00:00:00-05:00,10000.0,0,156.82655334472656,10000.0,0.0,10000.0,0.0,8778.639222666754
2022-01-26 00:00:00-05:00,10000.0,0,156.73822021484375,10000.0,0.0,10000.0,0.0,8773.694622010093
2022-01-27 00:00:00-05:00,10000.0,0,156.2769012451172,10000.0,0.0,10000.0,0.0,8747.871489922889
2022-01-28 00:00:00-05:00,10000.0,0,167.1815643310547,10000.0,0.0,10000.0,0.0,9358.278981731713
2022-01-31 00:00:00-05:00,10000.0,0,171.54930114746094,10000.0,0.0,10000.0,0.0,9602.77065047678
2022-02-01 00:00:00-05:00,10000.0,0,171.38246154785156,10000.0,0.0,10000.0,0.0,9593.431513565409
