Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_50,MA_200,Signal,Position
2022-01-03 00:00:00-05:00,174.5429321185891,179.4995892112378,174.42515503160624,178.64566040039062,104487900,0.0,0.0,,,0,0
2022-01-04 00:00:00-05:00,179.25419002967348,179.55845745447346,175.8090608575143,176.3783416748047,99310400,0.0,0.0,,,0,0
2022-01-05 00:00:00-05:00,176.29001709220518,176.83966343060843,171.41188337376713,171.68670654296875,94537600,0.0,0.0,,,0,0
2022-01-06 00:00:00-05:00,169.50773661732023,172.05968310015797,168.46733250526367,168.8206787109375,96904000,0.0,0.0,,,0,0
2022-01-07 00:00:00-05:00,169.69424129913546,170.92113587009246,167.86862157848182,168.987548828125,86709100,0.0,0.0,,,0,0
2022-01-10 00:00:00-05:00,165.95464256744464,169.31142378084766,165.06145986786478,169.0071563720703,106765600,0.0,0.0,,,0,0
2022-01-11 00:00:00-05:00,169.13478740187807,171.94190783972073,167.66251389723809,171.84376525878906,76138300,0.0,0.0,,,0,0
2022-01-12 00:00:00-05:00,172.8645521340357,173.9049564510331,171.58859361801524,172.28546142578125,74805200,0.0,0.0,,,0,0
2022-01-13 00:00:00-05:00,172.5307934232952,173.3552628490283,168.614541185956,169.0071563720703,84505800,0.0,0.0,,,0,0
2022-01-14 00:00:00-05:00,168.17287788763613,170.56777832766494,167.92749898971087,169.87091064453125,80440800,0.0,0.0,,,0,0
2022-01-18 00:00:00-05:00,168.3396988448815,169.35065849662658,166.2785255156258,166.66131591796875,90956700,0.0,0.0,,,0,0
2022-01-19 00:00:00-05:00,166.85763576058818,167.9176743026287,162.87268520870163,163.15731811523438,94815000,0.0,0.0,,,0,0
2022-01-20 00:00:00-05:00,163.89349177041368,166.54358123585433,161.14524474165466,161.46914672851562,91420500,0.0,0.0,,,0,0
2022-01-21 00:00:00-05:00,161.38078458519854,163.25548287606637,159.2999764162496,159.40794372558594,122848900,0.0,0.0,,,0,0
2022-01-24 00:00:00-05:00,157.06213706108227,159.2999915243486,151.8404666623007,158.63255310058594,162294600,0.0,0.0,,,0,0
2022-01-25 00:00:00-05:00,156.04133790955973,159.7514654895658,154.1175758189767,156.82655334472656,115798400,0.0,0.0,,,0,0
2022-01-26 00:00:00-05:00,160.47779205545413,161.35134029387297,154.90279093312674,156.73822021484375,108275300,0.0,0.0,,,0,0
2022-01-27 00:00:00-05:00,159.44720772831658,160.81151382611307,155.35428943492713,156.27691650390625,121954600,0.0,0.0,,,0,0
2022-01-28 00:00:00-05:00,162.64695192499494,167.2011835771804,159.79073801782928,167.18154907226562,179935700,0.0,0.0,,,0,0
2022-01-31 00:00:00-05:00,167.0146888598467,171.76522050687674,166.37669476906368,171.54928588867188,115541600,0.0,0.0,,,0,0
2022-02-01 00:00:00-05:00,170.79353091508946,171.6081906924981,169.12495732448602,171.3824462890625,86213900,0.0,0.0,,,0,0
2022-02-02 00:00:00-05:00,171.51984280427115,172.62896017118422,170.12609251689003,172.58969116210938,84914300,0.0,0.0,,,0,0
2022-02-03 00:00:00-05:00,171.25482156772748,172.9822984461671,168.93844437078735,169.7040252685547,89418100,0.0,0.0,,,0,0
2022-02-04 00:00:00-05:00,168.72129677126426,171.0996042103979,167.7385305552271,169.4190673828125,82465400,0.22,0.0,,,0,0
2022-02-07 00:00:00-05:00,169.88091520981627,170.95212644898317,168.00382872926806,168.70159912109375,77251200,0.0,0.0,,,0,0
2022-02-08 00:00:00-05:00,168.7704203940124,172.32804392038554,168.4755875609354,171.81700134277344,74829200,0.0,0.0,,,0,0
2022-02-09 00:00:00-05:00,173.01597239364082,173.60562304759242,171.88578239754793,173.24200439453125,71285000,0.0,0.0,,,0,0
2022-02-10 00:00:00-05:00,171.1388626912715,172.45576547110866,168.59350246849255,169.15367126464844,90865900,0.0,0.0,,,0,0
2022-02-11 00:00:00-05:00,169.3600979658817,170.09717260247885,165.14402264688573,165.7336883544922,98670700,0.0,0.0,,,0,0
2022-02-14 00:00:00-05:00,164.4855419291192,166.65746140454794,163.68950386212114,165.9695281982422,86185500,0.0,0.0,,,0,0
2022-02-15 00:00:00-05:00,168.02349233461683,169.9693646781473,167.3158996650025,169.81211853027344,62527400,0.0,0.0,,,0,0
2022-02-16 00:00:00-05:00,168.8883606728898,170.35267256794222,167.11937868964532,169.5762939453125,61177400,0.0,0.0,,,0,0
2022-02-17 00:00:00-05:00,168.08246911671398,168.9473080022522,165.56659053604196,165.9695281982422,69589300,0.0,0.0,,,0,0
2022-02-18 00:00:00-05:00,166.893337952625,167.6009157130797,163.32589238939244,164.41676330566406,82772700,0.0,0.0,,,0,0
2022-02-22 00:00:00-05:00,162.13672755479107,163.81726398261975,159.35549802549073,161.4881134033203,91162800,0.0,0.0,,,0,0
2022-02-23 00:00:00-05:00,162.68708741626082,163.28657531432245,156.9968785115613,157.31137084960938,90009200,0.0,0.0,,,0,0
2022-02-24 00:00:00-05:00,149.95042777885615,160.04343810435978,149.38042173851366,159.93533325195312,141147500,0.0,0.0,,,0,0
2022-02-25 00:00:00-05:00,161.0163992959612,162.27433874391238,158.097582687372,162.00900268554688,91974200,0.0,0.0,,,0,0
