Date,Cash,Shares,Price,Portfolio_Value,Daily_Return,Peak,Drawdown,Buy_Hold_Value
2022-01-03 00:00:00-05:00,10000.0,0,178.64566040039062,10000.0,,10000.0,0.0,10000.0
2022-01-04 00:00:00-05:00,10000.0,0,176.3783416748047,10000.0,0.0,10000.0,0.0,9873.082910578163
2022-01-05 00:00:00-05:00,10000.0,0,171.68670654296875,10000.0,0.0,10000.0,0.0,9610.46051486361
2022-01-06 00:00:00-05:00,10000.0,0,168.8206787109375,10000.0,0.0,10000.0,0.0,9450.02964709958
2022-01-07 00:00:00-05:00,10000.0,0,168.987548828125,10000.0,0.0,10000.0,0.0,9459.37049068982
2022-01-10 00:00:00-05:00,10000.0,0,169.0071563720703,10000.0,0.0,10000.0,0.0,9460.468056894415
2022-01-11 00:00:00-05:00,10000.0,0,171.84376525878906,10000.0,0.0,10000.0,0.0,9619.252148282987
2022-01-12 00:00:00-05:00,10000.0,0,172.28546142578125,10000.0,0.0,10000.0,0.0,9643.976855617173
2022-01-13 00:00:00-05:00,10000.0,0,169.0071563720703,10000.0,0.0,10000.0,0.0,9460.468056894415
2022-01-14 00:00:00-05:00,10000.0,0,169.87091064453125,10000.0,0.0,10000.0,0.0,9508.818197083941
2022-01-18 00:00:00-05:00,10000.0,0,166.66131591796875,10000.0,0.0,10000.0,0.0,9329.155577831452
2022-01-19 00:00:00-05:00,10000.0,0,163.15731811523438,10000.0,0.0,10000.0,0.0,9133.013236904668
2022-01-20 00:00:00-05:00,10000.0,0,161.46914672851562,10000.0,0.0,10000.0,0.0,9038.5149220318
2022-01-21 00:00:00-05:00,10000.0,0,159.40794372558594,10000.0,0.0,10000.0,0.0,8923.135516883644
2022-01-24 00:00:00-05:00,10000.0,0,158.63255310058594,10000.0,0.0,10000.0,0.0,8879.731684780352
2022-01-25 00:00:00-05:00,10000.0,0,156.82655334472656,10000.0,0.0,10000.0,0.0,8778.63772303442
2022-01-26 00:00:00-05:00,10000.0,0,156.73822021484375,10000.0,0.0,10000.0,0.0,8773.693123222434
